2546001,42370,14266,Cr,14266
2546001,42370,1903,Dr,12363
2546002,42370,31577,Cr,31577
2546002,42370,4500,Cr,36077
2546003,42370,28521,Cr,28521
2546004,42370,28994,Cr,28994
2546005,42370,17027,Cr,17027
2546005,42370,1068,Dr,15959
2546006,42370,40389,Cr,40389
2546007,42370,20165,Cr,20165
2546008,42370,20928,Cr,20928
2546009,42370,38903,Cr,38903
2546009,42370,17290,Dr,21613
2546010,42370,40061,Cr,40061
2546011,42370,14891,Cr,14891
2546012,42370,30676,Cr,30676
2546013,42370,39491,Cr,39491
2546014,42370,31500,Cr,31500
2546015,42370,24310,Cr,24310
2546016,42370,30196,Cr,30196
2546017,42370,38006,Cr,38006
2546018,42370,14037,Cr,14037
2546019,42370,10800,Cr,40001
2546019,42370,29201,Cr,29201
2546020,42370,27193,Cr,27193
2546021,42370,15253,Cr,15253
2546022,42370,32135,Cr,32135
2546023,42370,33659,Cr,33659
2546023,42370,15875,Dr,17784
2546024,42370,16041,Cr,16041
2546024,42370,10700,Cr,26741
2546025,42370,13504,Cr,13504
2546026,42370,24634,Cr,24634
2546027,42370,2800,Cr,37084
2546027,42370,34284,Cr,34284
2546028,42370,30075,Cr,30075
2546029,42370,20148,Cr,20148
2546030,42370,29327,Cr,29327
2546030,42370,11527,Dr,17800
2546031,42370,80718,Cr,80718
2546032,42370,70082,Cr,70082
2546032,42370,27880,Dr,42202
2546033,42370,63480,Cr,63480
2546034,42370,70571,Cr,70571
2546035,42370,43811,Cr,43811
2546036,42370,74376,Cr,74376
2546036,42370,25814,Dr,48562
2546037,42370,81377,Cr,81377
2546038,42370,74256,Cr,74256
2546039,42370,43125,Cr,43125
2546040,42370,57326,Cr,57326
2546041,42370,61845,Cr,61845
2546042,42370,82108,Cr,82108
2546043,42370,31700,Cr,89795
2546043,42370,58095,Cr,58095
2546044,42370,83044,Cr,83044
2546045,42370,66895,Cr,66895
2546046,42370,52515,Cr,52515
2546047,42370,80129,Cr,80129
2546048,42370,70873,Cr,70873
2546049,42370,49774,Cr,49774
2546050,42370,51027,Cr,51027
2546051,42370,79693,Cr,79693
2546051,42370,2003,Dr,77690
2546052,42370,42703,Cr,42703
2546053,42370,64571,Cr,64571
2546053,42370,15136,Dr,49435
2546054,42370,45967,Cr,45967
2546055,42370,67275,Cr,67275
2546056,42370,75915,Cr,75915
2546057,42370,77303,Cr,77303
2546057,42370,35922,Dr,41381
2546058,42370,47216,Cr,47216
2546059,42370,51755,Cr,51755
2546060,42370,71711,Cr,71711
2546061,42370,51390,Cr,51390
2546062,42370,76865,Cr,76865
2546062,42370,20100,Cr,96965
2546063,42370,83266,Cr,83266
2546064,42370,63160,Cr,63160
2546064,42370,18619,Dr,44541
2546065,42370,52315,Cr,52315
2546066,42370,67485,Cr,67485
2546066,42370,13102,Dr,54383
2546067,42370,72547,Cr,72547
2546068,42370,56931,Cr,56931
2546069,42370,59833,Cr,59833
2546069,42370,6782,Dr,53051
2546070,42370,74802,Cr,74802
2546070,42370,18580,Dr,56222
2546071,42370,157269,Cr,157269
2546072,42370,119340,Cr,119340
2546073,42370,150949,Cr,150949
2546073,42370,5566,Dr,145383
2546074,42370,84292,Cr,84292
2546074,42370,7894,Dr,76398
2546075,42370,163680,Cr,163680
2546076,42370,92189,Cr,92189
2546076,42370,61400,Cr,153589
2546077,42370,92092,Cr,92092
2546078,42370,87291,Cr,87291
2546079,42370,149617,Cr,149617
2546079,42370,70562,Dr,79055
2546080,42370,86366,Cr,86366
2546081,42370,91493,Cr,91493
2546081,42370,39373,Dr,52120
2546082,42370,89116,Cr,89116
2546083,42370,156591,Cr,156591
2546083,42370,53102,Dr,103489
2546084,42370,102788,Cr,102788
2546084,42370,57900,Cr,160688
2546085,42370,128639,Cr,128639
2546085,42370,54557,Dr,74082
2546086,42370,165000,Cr,165000
2546086,42370,9833,Dr,155167
2546087,42370,95889,Cr,95889
2546087,42370,40366,Dr,55523
2546088,42370,165652,Cr,165652
2546089,42370,102994,Cr,102994
2546089,42370,7277,Dr,95717
2546090,42370,84554,Cr,84554
2546090,42370,36884,Dr,47670
2546091,42370,136442,Cr,136442
2546091,42370,48894,Dr,87548
2546092,42370,129673,Cr,129673
2546092,42370,40291,Dr,89382
2546093,42370,157021,Cr,157021
2546094,42370,151596,Cr,151596
2546095,42370,98984,Cr,98984
2546096,42370,142913,Cr,142913
2546097,42370,133009,Cr,133009
2546098,42370,160930,Cr,160930
2546099,42370,157287,Cr,157287
2546100,42370,122460,Cr,122460
2546100,42370,72300,Cr,194760
2546003,42371,3600,Cr,32121
2546008,42371,10300,Cr,31228
2546026,42371,8246,Dr,16388
2546030,42371,15500,Cr,33300
2546034,42371,24465,Dr,46106
2546035,42371,11660,Dr,32151
2546040,42371,2298,Dr,55028
2546041,42371,27851,Dr,33994
2546044,42371,30513,Dr,52531
2546046,42371,22301,Dr,30214
2546049,42371,24601,Dr,25173
2546050,42371,18900,Cr,69927
2546060,42371,3533,Dr,68178
2546064,42371,15338,Dr,29203
2546068,42371,12215,Dr,44716
2546069,42371,1248,Dr,51803
2546073,42371,64930,Dr,80453
2546074,42371,26400,Cr,102798
2546077,42371,34058,Dr,58034
2546082,42371,66600,Cr,155716
