2546001,01-1-2016,34213,Cr,34213
2546001,3-1-2016,8087,Dr,26126
2546001,5-1-2016,6200,Cr,32326
2546001,6-1-2016,10886,Dr,21440
2546001,8-1-2016,6850,Dr,14590
2546001,9-1-2016,5855,Dr,8735
2546001,10-1-2016,4300,Cr,13035
2546001,14-1-2016,12600,Cr,25635
2546001,15-1-2016,10400,Cr,36035
2546001,21-1-2016,5075,Dr,30960
2546001,22-1-2016,3227,Dr,27733
2546001,24-1-2016,1000,Cr,28733
2546001,25-1-2016,4613,Dr,24120
2546001,31-1-2016,9025,Dr,15095
2546001,01-2-2016,34213,Cr,49308
2546001,1-2-2016,19434,Dr,29874
2546001,12-2-2016,9391,Dr,20483
2546001,14-2-2016,8687,Dr,11796
2546001,23-2-2016,2873,Dr,8923
2546001,26-2-2016,1769,Dr,7154
2546001,27-2-2016,18500,Cr,25654
2546001,01-3-2016,34213,Cr,59867
2546001,9-3-2016,9254,Dr,50613
2546001,16-3-2016,14500,Cr,65113
2546001,18-3-2016,1100,Cr,66213
2546001,21-3-2016,14337,Dr,51876
2546001,01-4-2016,34213,Cr,86089
2546001,6-4-2016,14526,Dr,71563
2546001,8-4-2016,15400,Cr,86963
2546001,10-4-2016,7007,Dr,79956
2546001,12-4-2016,15800,Cr,95756
2546001,13-4-2016,13900,Cr,109656
2546001,15-4-2016,7200,Cr,116856
2546001,16-4-2016,15200,Dr,101656
2546001,19-4-2016,26759,Dr,74897
2546001,20-4-2016,12337,Dr,62560
2546001,24-4-2016,27833,Dr,34727
2546001,25-4-2016,17107,Dr,17620
2546001,26-4-2016,5479,Dr,12141
2546001,30-4-2016,2902,Dr,9239
2546001,01-5-2016,34213,Cr,43452
2546001,3-5-2016,13700,Cr,57152
2546001,5-5-2016,294,Dr,56858
2546001,7-5-2016,11388,Dr,45470
2546001,8-5-2016,21845,Dr,23625
2546001,12-5-2016,4494,Dr,19131
2546001,16-5-2016,2912,Dr,16219
2546001,23-5-2016,3777,Dr,12442
2546001,24-5-2016,1000,Cr,13442
2546001,01-6-2016,34213,Cr,47655
2546001,7-6-2016,17200,Cr,64855
2546001,10-6-2016,15831,Dr,49024
2546001,12-6-2016,16247,Dr,32777
2546001,16-6-2016,12618,Dr,20159
2546001,19-6-2016,3700,Cr,23859
2546001,01-7-2016,34213,Cr,58072
2546001,11-7-2016,11788,Dr,46284
2546001,18-7-2016,6683,Dr,39601
2546001,23-7-2016,17543,Dr,22058
2546001,31-7-2016,3200,Cr,25258
2546001,01-8-2016,34213,Cr,59471
2546001,4-8-2016,12154,Dr,47317
2546001,5-8-2016,12648,Dr,34669
