2546001,42370,15500,Cr,27858
2546001,42370,12358,Cr,12358
2546002,42370,16516,Cr,16516
2546003,42370,36328,Cr,36328
2546003,42370,6788,Dr,29540
2546004,42370,13675,Cr,13675
2546004,42370,4926,Dr,8749
2546005,42370,39957,Cr,39957
2546005,42370,14877,Dr,25080
2546006,42370,10500,Cr,43842
2546006,42370,33342,Cr,33342
2546007,42370,15800,Cr,30180
2546007,42370,14380,Cr,14380
2546008,42370,16700,Cr,44359
2546008,42370,27659,Cr,27659
2546009,42370,26229,Cr,26229
2546010,42370,32731,Cr,32731
2546010,42370,8469,Dr,24262
2546011,42370,30371,Cr,30371
2546011,42370,14775,Dr,15596
2546012,42370,17847,Cr,17847
2546013,42370,11475,Cr,11475
2546013,42370,4626,Dr,6849
2546014,42370,35422,Cr,35422
2546015,42370,31605,Cr,31605
2546015,42370,14047,Dr,17558
2546016,42370,21668,Cr,21668
2546016,42370,2396,Dr,19272
2546017,42370,35407,Cr,35407
2546017,42370,7728,Dr,27679
2546018,42370,32977,Cr,32977
2546018,42370,8745,Dr,24232
2546019,42370,11585,Cr,11585
2546020,42370,21297,Cr,21297
2546020,42370,7000,Cr,28297
2546021,42370,32285,Cr,32285
2546021,42370,11561,Dr,20724
2546022,42370,16965,Cr,16965
2546023,42370,36486,Cr,36486
2546024,42370,24200,Cr,24200
2546024,42370,10315,Dr,13885
2546025,42370,32247,Cr,32247
2546025,42370,14446,Dr,17801
2546026,42370,19931,Cr,19931
2546026,42370,5477,Dr,14454
2546027,42370,24212,Cr,24212
2546027,42370,1839,Dr,22373
2546028,42370,10567,Cr,10567
2546028,42370,741,Dr,9826
2546029,42370,38970,Cr,38970
2546029,42370,351,Dr,38619
2546030,42370,28119,Cr,28119
2546030,42370,11125,Dr,16994
2546031,42370,67864,Cr,67864
2546032,42370,72761,Cr,72761
2546033,42370,52402,Cr,52402
2546033,42370,8692,Dr,43710
2546034,42370,68616,Cr,68616
2546034,42370,20111,Dr,48505
2546035,42370,78752,Cr,78752
2546036,42370,75358,Cr,75358
2546036,42370,7350,Dr,68008
2546037,42370,44313,Cr,44313
2546038,42370,20100,Cr,78933
2546038,42370,58833,Cr,58833
2546039,42370,47655,Cr,47655
2546039,42370,10314,Dr,37341
2546040,42370,61678,Cr,61678
2546040,42370,14307,Dr,47371
2546041,42370,74394,Cr,74394
2546041,42370,25409,Dr,48985
2546042,42370,48163,Cr,48163
2546042,42370,15926,Dr,32237
2546043,42370,54804,Cr,54804
2546043,42370,26124,Dr,28680
2546044,42370,54095,Cr,54095
2546044,42370,15778,Dr,38317
2546045,42370,66292,Cr,66292
2546046,42370,51323,Cr,51323
2546046,42370,9219,Dr,42104
2546047,42370,74363,Cr,74363
2546047,42370,6651,Dr,67712
2546048,42370,42796,Cr,42796
2546049,42370,75015,Cr,75015
2546050,42370,60927,Cr,60927
2546050,42370,6262,Dr,54665
2546051,42370,67024,Cr,67024
2546052,42370,48007,Cr,48007
2546052,42370,5600,Cr,53607
2546053,42370,78905,Cr,78905
2546053,42370,13212,Dr,65693
2546054,42370,82337,Cr,82337
2546054,42370,38913,Dr,43424
2546055,42370,63141,Cr,63141
2546055,42370,14481,Dr,48660
2546056,42370,24100,Cr,99688
2546056,42370,75588,Cr,75588
2546057,42370,33200,Cr,81715
2546057,42370,48515,Cr,48515
2546058,42370,65310,Cr,65310
2546058,42370,25991,Dr,39319
2546059,42370,56866,Cr,56866
2546060,42370,65447,Cr,65447
2546060,42370,12200,Cr,77647
2546061,42370,55540,Cr,55540
2546062,42370,83288,Cr,83288
2546062,42370,1809,Dr,81479
2546063,42370,79938,Cr,79938
2546063,42370,2746,Dr,77192
2546064,42370,33500,Cr,98547
2546064,42370,65047,Cr,65047
2546065,42370,61065,Cr,61065
2546065,42370,14272,Dr,46793
2546066,42370,80135,Cr,80135
2546067,42370,74860,Cr,74860
2546068,42370,82950,Cr,82950
2546068,42370,20555,Dr,62395
2546069,42370,61746,Cr,61746
2546070,42370,39700,Cr,84957
2546070,42370,45257,Cr,45257
2546071,42370,151919,Cr,151919
2546072,42370,163133,Cr,163133
2546073,42370,108715,Cr,108715
2546074,42370,151865,Cr,151865
2546074,42370,24033,Dr,127832
2546075,42370,74700,Cr,218341
2546075,42370,143641,Cr,143641
2546076,42370,109099,Cr,109099
2546077,42370,142072,Cr,142072
2546077,42370,59700,Cr,201772
2546078,42370,93301,Cr,93301
2546079,42370,96247,Cr,96247
2546079,42370,1720,Dr,94527
2546080,42370,99916,Cr,99916
2546080,42370,24762,Dr,75154
2546081,42370,109395,Cr,109395
2546081,42370,17338,Dr,92057
2546082,42370,148001,Cr,148001
2546082,42370,33700,Cr,181701
2546083,42370,112782,Cr,112782
2546084,42370,158820,Cr,158820
2546085,42370,123820,Cr,123820
2546085,42370,27824,Dr,95996
2546086,42370,121884,Cr,121884
2546087,42370,14200,Cr,157105
2546087,42370,142905,Cr,142905
2546088,42370,108670,Cr,108670
2546088,42370,11279,Dr,97391
2546089,42370,108459,Cr,108459
2546089,42370,11533,Dr,96926
2546090,42370,97379,Cr,97379
2546090,42370,17400,Cr,114779
2546091,42370,113962,Cr,113962
2546091,42370,1700,Dr,112262
2546092,42370,134821,Cr,134821
2546092,42370,30200,Cr,165021
2546093,42370,129047,Cr,129047
2546093,42370,28638,Dr,100409
2546094,42370,159356,Cr,159356
2546094,42370,15274,Dr,144082
2546095,42370,91002,Cr,91002
2546096,42370,49000,Cr,161107
2546096,42370,112107,Cr,112107
2546097,42370,162948,Cr,162948
2546097,42370,6100,Cr,169048
2546098,42370,157212,Cr,157212
2546099,42370,95116,Cr,95116
2546099,42370,14509,Dr,80607
2546100,42370,152931,Cr,152931
2546001,42371,8227,Dr,19631
2546002,42371,4359,Dr,12157
2546003,42371,14195,Dr,15345
2546004,42371,716,Dr,8033
2546005,42371,2177,Dr,22903
2546006,42371,20019,Dr,23823
