2546001,42370,14633,Cr
2546001,42370,2492,Dr
2546001,42371,839,Dr
2546001,42372,731,Dr
2546001,42373,1365,Dr
2546001,42375,219,Dr
2546001,42376,8900,Cr
2546001,42377,16700,Cr
2546001,42382,5977,Dr
2546001,42384,6893,Dr
2546001,42386,1673,Dr
2546001,42387,3530,Dr
2546001,42388,1039,Dr
2546001,42390,1314,Dr
2546001,42391,6500,Cr
2546001,42392,4206,Dr
2546001,42397,450,Dr
2546001,42398,1936,Dr
2546001,42399,4800,Cr
2546001,42400,3211,Dr
2546001,42401,14633,Cr
2546001,42401,727,Dr
2546001,42402,7372,Dr
2546001,42403,719,Dr
2546001,42404,3375,Dr
2546001,42405,1860,Dr
2546001,42406,1608,Dr
2546001,42407,279,Dr
2546001,42408,9500,Cr
2546001,42410,4180,Dr
2546001,42412,15700,Cr
2546001,42414,3458,Dr
2546001,42415,3493,Dr
2546001,42416,3825,Dr
2546001,42417,1199,Dr
2546001,42418,567,Dr
2546001,42419,3263,Dr
2546001,42423,1200,Cr
2546001,42424,6000,Cr
2546001,42425,5364,Dr
2546001,42427,1200,Cr
2546001,42428,3953,Dr
2546001,42429,1640,Dr
2546001,42430,14633,Cr
2546001,42430,4876,Dr
2546001,42432,1772,Dr
2546001,42433,1824,Dr
2546001,42435,4350,Dr
2546001,42436,2797,Dr
2546001,42437,3622,Dr
2546001,42438,1037,Dr
2546001,42440,676,Dr
2546001,42443,1148,Dr
2546001,42444,1704,Dr
2546001,42445,934,Dr
2546001,42447,19200,Cr
2546001,42448,15000,Cr
2546001,42449,9659,Dr
2546001,42452,11400,Cr
2546001,42453,2925,Dr
2546001,42455,1776,Dr
2546001,42456,9292,Dr
2546001,42459,14200,Cr
2546001,42461,14633,Cr
2546001,42461,10042,Dr
2546001,42462,5294,Dr
2546001,42464,10130,Dr
2546001,42465,5466,Dr
2546001,42466,2072,Dr
2546001,42468,14300,Cr
2546001,42470,9091,Dr
2546001,42471,7263,Dr
2546001,42472,2334,Dr
2546001,42473,865,Dr
2546001,42478,3370,Dr
2546001,42479,1715,Dr
2546001,42481,11800,Cr
2546001,42483,173,Dr
2546001,42485,2592,Dr
2546001,42487,3442,Dr
2546001,42488,2607,Dr
2546001,42489,3108,Dr
2546001,42490,638,Dr
2546001,42491,14633,Cr
2546001,42491,2923,Dr
2546001,42492,3597,Dr
2546001,42493,4935,Dr
2546001,42495,2623,Dr
2546001,42496,968,Dr
2546001,42498,1464,Dr
2546001,42499,475,Dr
2546001,42500,468,Dr
2546001,42501,572,Dr
2546001,42504,515,Dr
2546001,42506,339,Dr
2546001,42508,988,Dr
2546001,42509,8900,Cr
2546001,42510,2454,Dr
2546001,42511,4800,Cr
2546001,42512,720,Dr
2546001,42516,925,Dr
2546001,42517,1214,Dr
2546001,42518,4137,Dr
2546001,42519,2135,Dr
2546001,42522,14633,Cr
2546001,42523,2941,Dr
2546001,42524,516,Dr
2546001,42525,2824,Dr
2546001,42526,2766,Dr
2546001,42527,1734,Dr
2546001,42528,2398,Dr
2546001,42530,2360,Dr
2546001,42531,1929,Dr
2546001,42532,1602,Dr
2546001,42534,771,Dr
2546001,42535,679,Dr
2546001,42536,997,Dr
2546001,42537,235,Dr
2546001,42538,685,Dr
2546001,42539,284,Dr
2546001,42540,470,Dr
2546001,42541,131,Dr
2546001,42543,108,Dr
2546001,42544,6000,Cr
2546001,42546,1072,Dr
2546001,42547,1491,Dr
2546001,42548,2600,Cr
2546001,42549,501,Dr
2546001,42552,14633,Cr
2546001,42552,19800,Cr
2546001,42554,448,Dr
2546001,42555,967,Dr
2546001,42561,3124,Dr
2546001,42564,2601,Dr
2546001,42565,2239,Dr
2546001,42566,6826,Dr
2546001,42568,19600,Cr
2546001,42569,17100,Cr
2546001,42571,2712,Dr
2546001,42572,11100,Cr
2546001,42574,15002,Dr
2546001,42575,9440,Dr
2546001,42576,4042,Dr
2546001,42577,1311,Dr
2546001,42578,3579,Dr
2546001,42579,4166,Dr
2546001,42580,1033,Dr
2546001,42582,5357,Dr
2546001,42583,14633,Cr
2546001,42583,3640,Dr
2546001,42584,4581,Dr
2546001,42585,4468,Dr
2546001,42586,6930,Dr
2546001,42588,3732,Dr
2546001,42589,808,Dr
2546001,42591,167,Dr
2546001,42593,2796,Dr
2546001,42595,3473,Dr
2546001,42596,2375,Dr
2546001,42597,984,Dr
2546001,42598,710,Dr
2546001,42599,11300,Cr
2546001,42600,1942,Dr
2546001,42601,1263,Dr
2546001,42602,833,Dr
2546001,42603,2093,Dr
2546001,42604,2588,Dr
2546001,42605,1075,Dr
2546001,42607,1488,Dr
2546001,42609,1182,Dr
2546001,42613,587,Dr
2546001,42614,14633,Cr
